method,fold_no,auroc,auprc,ap_3
GCATSL,1,0.4861111111111111,0.5,0.8010953485161645
GCATSL,2,0.5694444444444444,0.5694444444444443,0.9942074107380043
GCATSL,3,0.49999999999999994,0.5,0.8432670656878817
GCATSL,4,0.4930555555555555,0.49768518518518523,0.866300117705662
GCATSL,5,0.47154706790123463,0.48950617283950615,0.6120336145307904
GCATSL,6,0.5,0.5,0.835050117705662
GCATSL,7,0.6211419753086419,0.5781743119043171,0.832298985030333
GCATSL,8,0.4861111111111111,0.5,0.8010953485161645
GCATSL,9,0.5,0.5,0.835050117705662
GCATSL,10,0.4654706790123456,0.49583333333333335,0.6360682691126731
pca-gCMF,1,0.9361496913580248,0.9358822488884282,0.9546778366306081
pca-gCMF,2,0.9369212962962963,0.9229372868264147,0.9279417255194972
pca-gCMF,3,0.9739583333333334,0.981883116114254,1.0
pca-gCMF,4,0.9508101851851852,0.9648961239737163,0.9922916885557379
pca-gCMF,5,0.9149305555555556,0.9242414215967256,0.9546778366306081
pca-gCMF,6,0.9465663580246914,0.9469812560852182,0.9660452308105024
pca-gCMF,7,0.9390432098765431,0.9586390380353454,0.991009333757758
pca-gCMF,8,0.9328703703703703,0.9465281535206118,0.9785673018005246
pca-gCMF,9,0.9353780864197532,0.9476678636916589,0.9785673018005246
pca-gCMF,10,0.941358024691358,0.9627790323038767,1.0
GRSMF,1,0.8547453703703705,0.8916030441722509,0.9505111699639416
GRSMF,2,0.9349922839506172,0.8779284608523231,0.8521306429353773
GRSMF,3,0.8740354938271604,0.9108510224174676,0.9934996717490153
GRSMF,4,0.47530864197530864,0.6831885677192194,0.9241686986256897
GRSMF,5,0.8427854938271606,0.7112544558282127,0.5508625564190781
GRSMF,6,0.8281250000000002,0.6920789356800963,0.5080402644539924
GRSMF,7,0.5109953703703703,0.6962256917563406,0.9269327938902885
GRSMF,8,0.410108024691358,0.6414526609633031,0.8887118650882665
GRSMF,9,0.4701003086419753,0.6755344826155536,0.9146664368138498
GRSMF,10,0.8811728395061729,0.9049748694171458,0.9546778366306081
Elastic Net,1,0.9510030864197531,0.9674757536761819,1.0
Elastic Net,2,0.9475308641975309,0.9599953847530482,1.0
Elastic Net,3,0.9523533950617284,0.966916693954078,1.0
Elastic Net,4,0.9594907407407407,0.9701426427698595,1.0
Elastic Net,5,0.9367283950617283,0.9577543118092103,1.0
Elastic Net,6,0.9606481481481483,0.9699488865748123,1.0
Elastic Net,7,0.9658564814814815,0.9720520967666922,1.0
Elastic Net,8,0.9427083333333334,0.9616335797302574,1.0
Elastic Net,9,0.917824074074074,0.943179545583957,1.0
Elastic Net,10,0.9124228395061729,0.9400299150035879,1.0
L0L2,1,0.9450231481481483,0.9633345768021802,1.0
L0L2,2,0.9247685185185186,0.9456163246995586,1.0
L0L2,3,0.9415509259259259,0.960820841510462,1.0
L0L2,4,0.9463734567901234,0.9594353186048972,1.0
L0L2,5,0.9137731481481483,0.9422442242502287,1.0
L0L2,6,0.9284336419753088,0.9477576588272812,1.0
L0L2,7,0.9637345679012346,0.9712615250039401,1.0
L0L2,8,0.9307484567901234,0.9546457668364783,1.0
L0L2,9,0.9251543209876544,0.9473725373874157,1.0
L0L2,10,0.919945987654321,0.9416675177683256,1.0
Random Forest,1,0.9149305555555556,0.934219154462382,0.9895010222915087
Random Forest,2,0.927951388888889,0.9305793379937365,0.9604879281825079
Random Forest,3,0.9556327160493827,0.9625398652195748,0.986607520889362
Random Forest,4,0.907986111111111,0.8960030171291092,0.9323057711890823
Random Forest,5,0.900462962962963,0.914460263651979,0.9841337464719434
Random Forest,6,0.9266975308641976,0.9403924459466798,0.9909803705888348
Random Forest,7,0.9509066358024691,0.9503181113010912,0.9810196350433239
Random Forest,8,0.9625771604938272,0.9750210265374268,1.0
Random Forest,9,0.9051890432098766,0.9243707321667503,0.9798525630087481
Random Forest,10,0.9157986111111112,0.9344599470146984,0.9844721042226953
MUVR,1,0.935570987654321,0.957350604909875,0.9986698112601501
MUVR,2,0.9375,0.9348557140413309,0.9685114502275259
MUVR,3,0.9515817901234568,0.958442026955107,0.9905753059799803
MUVR,4,0.9476273148148149,0.9330797331252032,0.9529426261697522
MUVR,5,0.9555362654320988,0.9679823399041373,1.0
MUVR,6,0.923900462962963,0.9180315731319182,0.9514911708638917
MUVR,7,0.9633487654320988,0.9681454068279398,0.9977333634487021
MUVR,8,0.9434799382716048,0.9545499548012969,0.9938594953899673
MUVR,9,0.8981481481481481,0.9055423344903789,0.953924341072187
MUVR,10,0.9238040123456791,0.9366678559797376,0.9799231438152537
