method,fold_no,auroc,auprc,ap_3
GCATSL,1,0.5,0.5,0.9629131893767735
GCATSL,2,0.5145228215767634,0.5073875395117531,0.8858803171730376
GCATSL,3,0.5186721991701244,0.5095532181800637,0.9055525855331782
GCATSL,4,0.49419775830305956,0.5116446601584054,0.6470834886304482
GCATSL,5,0.5,0.5,0.9629131893767735
GCATSL,6,0.5,0.5,0.9629131893767735
GCATSL,7,0.5342538868132437,0.5162996370555066,0.6916519018092002
GCATSL,8,0.5,0.5,0.9629131893767735
GCATSL,9,0.5,0.5,0.9629131893767735
GCATSL,10,0.5,0.5,0.9629131893767735
pca-gCMF,1,0.4706530534942579,0.5290977725061123,0.5773124740253324
pca-gCMF,2,0.5361477935985951,0.5549062947396101,0.6140529245582488
pca-gCMF,3,0.5228387940978977,0.5437474955617774,0.592028220500451
pca-gCMF,4,0.5264544343244779,0.5558913259023281,0.6158554093524458
pca-gCMF,5,0.5865601487577694,0.6144957271247002,0.7016677182467224
pca-gCMF,6,0.5802758216972848,0.5991245501006586,0.672216194054982
pca-gCMF,7,0.5012310394104784,0.5480746702079188,0.6241204328806627
pca-gCMF,8,0.5369570083159725,0.5567583367077561,0.6045947795083226
pca-gCMF,9,0.5410719512405089,0.5599075640661949,0.6068200686115645
pca-gCMF,10,0.5588058056851639,0.5812413815542289,0.6456459927047018
GRSMF,1,0.5791308689588678,0.6045865311485255,0.6867771784498704
GRSMF,2,0.5645305693772491,0.5810969771856155,0.644979994850209
GRSMF,3,0.5764535734577573,0.5625889902869854,0.5895542283795439
GRSMF,4,0.5825829445085312,0.5913975948087058,0.6485653440791969
GRSMF,5,0.5884024035398839,0.6150797652372673,0.7087256050573033
GRSMF,6,0.56363526798781,0.5846326451697358,0.6580082348163836
GRSMF,7,0.53464127683752,0.5572414547142566,0.615626404840887
GRSMF,8,0.5941960365696182,0.6039644465854139,0.678115243763081
GRSMF,9,0.5610612764931733,0.5906366458985612,0.6724569264138952
GRSMF,10,0.5672164735455657,0.5691815907616793,0.6161058014647802
Elastic Net,1,0.6147363165234758,0.6000046131475174,0.6641575749607449
Elastic Net,2,0.6217782062981009,0.6064143121794496,0.6607037108589103
