method,fold_no,auroc,auprc,ap_3
GCATSL,1,0.9433136094674556,0.9133335170443423,0.8918220438086908
GCATSL,2,0.9853254437869823,0.9923076923076922,1.0
GCATSL,3,0.9990532544378697,0.9990845805777933,1.0
GCATSL,4,0.9988165680473372,0.998797489558966,1.0
GCATSL,5,1.0,1.0,1.0
GCATSL,6,0.973491124260355,0.9476068144284862,0.9656144983128476
GCATSL,7,0.997396449704142,0.9973072082177677,1.0
GCATSL,8,0.9962130177514793,0.9962216927163025,1.0
GCATSL,9,0.9908875739644971,0.9818436178650601,0.9893362356430291
GCATSL,10,0.983905325443787,0.9822558296401608,0.9983382422868499
pca-gCMF,1,0.956923076923077,0.9474994968838881,0.9668984943239656
pca-gCMF,2,0.9689940828402366,0.9598991158541244,0.9727938403379514
pca-gCMF,3,0.968284023668639,0.9736746745100591,1.0
pca-gCMF,4,0.908639053254438,0.8767744383718814,0.883977638509993
pca-gCMF,5,0.9578698224852071,0.9624866230403695,0.9965485489120891
pca-gCMF,6,0.8149112426035504,0.7650687408305459,0.7769002439334793
pca-gCMF,7,0.9588165680473373,0.9293516592377506,0.9314778092495979
pca-gCMF,8,0.9725443786982249,0.9780135051401107,1.0
pca-gCMF,9,0.9289940828402367,0.9582435163977108,1.0
pca-gCMF,10,0.9368047337278107,0.9331954456431701,0.9745907227286078
GRSMF,1,0.9555029585798815,0.8851973097048076,0.8271318791828185
GRSMF,2,0.9905325443786982,0.9865196595818022,0.9893362356430291
GRSMF,3,0.9992899408284024,0.9993040713591803,1.0
GRSMF,4,0.986508875739645,0.991978619670927,1.0
GRSMF,5,0.9990532544378699,0.9990636867437956,1.0
GRSMF,6,0.9995266272189349,0.999530213376367,1.0
GRSMF,7,0.9701775147928994,0.9224495671080628,0.8887597540805354
GRSMF,8,0.9988165680473373,0.9988341726681278,1.0
GRSMF,9,0.9952662721893492,0.9945975011749497,1.0
GRSMF,10,0.9853254437869823,0.9585985584475605,0.9414729002960812
Elastic Net,1,0.5827218934911244,0.5351995246941208,0.4524880598573424
Elastic Net,2,0.6216568047337278,0.6041135755535443,0.7568412804742218
Elastic Net,3,0.5867455621301775,0.6083546509353337,0.7381838901577268
Elastic Net,4,0.5611834319526627,0.5593807343783372,0.5786310245997606
Elastic Net,5,0.5429585798816569,0.5422064257878204,0.549795441128857
Elastic Net,6,0.5936094674556213,0.5860556023181608,0.6004550827085254
Elastic Net,7,0.5995266272189349,0.5878878202652509,0.6020786546047214
Elastic Net,8,0.5792899408284025,0.5740360397241342,0.6926875526215357
Elastic Net,9,0.571360946745562,0.5627918064656184,0.5754348849766123
Elastic Net,10,0.6333727810650888,0.6164856837951892,0.6265545236767097
L0L2,1,0.5770414201183431,0.5305743749406532,0.4448523336832588
L0L2,2,0.6260355029585799,0.627477245344445,0.6870312597809302
L0L2,3,0.5867455621301775,0.6083546509353337,0.7381838901577268
L0L2,4,0.5697041420118343,0.5896813860704102,0.6555560107373813
L0L2,5,0.5429585798816567,0.5364566400284834,0.5331132571633826
L0L2,6,0.6162130177514794,0.6046424951646534,0.6654621805691868
L0L2,7,0.5867455621301775,0.5516014525468522,0.5115885238976045
L0L2,8,0.5959763313609467,0.5713799188713133,0.5588419009989499
L0L2,9,0.5562130177514794,0.5510208104203186,0.5617054622029997
L0L2,10,0.6294674556213018,0.6192804032266452,0.760095520058649
Random Forest,1,0.6005917159763314,0.5729126859295859,0.561502456363532
Random Forest,2,0.6914792899408285,0.639324979958108,0.61972081700791
Random Forest,3,0.6253254437869822,0.5866141316561697,0.5668001403903048
Random Forest,4,0.5223668639053255,0.5215395240965994,0.5217097338080814
Random Forest,5,0.5392899408284023,0.513416930637543,0.4387191248945703
Random Forest,6,0.5507692307692308,0.556222352508414,0.5837344014567297
Random Forest,7,0.5408284023668639,0.5649967679813626,0.6127418057771368
Random Forest,8,0.5850887573964497,0.5658266997546078,0.552686872247246
Random Forest,9,0.4351479289940829,0.4399564246948828,0.28382359575222615
Random Forest,10,0.5757396449704143,0.5420078289022972,0.502902415249006
MUVR,1,0.5908875739644971,0.5731580313024498,0.5808324933369456
MUVR,2,0.6826035502958578,0.6538670058766175,0.6837779485069343
MUVR,3,0.6246153846153847,0.5833138831335147,0.5605876331747477
MUVR,4,0.5318343195266272,0.5164665860025849,0.46890802029354384
MUVR,5,0.47633136094674555,0.477747852793493,0.3758987560618414
MUVR,6,0.5390532544378698,0.5397000847954442,0.5288532560416814
MUVR,7,0.521301775147929,0.49665719323614516,0.3870022564058289
MUVR,8,0.5784615384615385,0.576415486161977,0.6058348277983269
MUVR,9,0.4499408284023669,0.45527660794414715,0.34539096530340024
MUVR,10,0.5614201183431953,0.5650099913159838,0.6002147739974673
DAISY,1,0.3850887573964497,0.44816361252551007,0.3887456976925627
DAISY,2,0.3493491124260355,0.4314383092936678,0.4007086081255683
DAISY,3,0.3889940828402367,0.4783131425201873,0.509483233442504
DAISY,4,0.3844970414201183,0.46323781213072385,0.48832838055201666
DAISY,5,0.39218934911242603,0.4744848544724487,0.5228394381077651
DAISY,6,0.4575147928994083,0.50856041526237,0.5495188529406422
DAISY,7,0.43704142011834324,0.5113162860204539,0.6034410619202936
DAISY,8,0.4897041420118343,0.544253588340361,0.6393139091797632
DAISY,9,0.41479289940828407,0.4517756117961109,0.39374679768461046
DAISY,10,0.39136094674556215,0.44775397453465704,0.41539513549644014
DiscoverSL,1,0.4517159763313609,0.4833818700382534,0.4778920144575002
DiscoverSL,2,0.5105325443786982,0.5145356253599531,0.5042346093618035
DiscoverSL,3,0.49136094674556213,0.5533480526078346,0.6223183239917407
DiscoverSL,4,0.41538461538461535,0.43724330099346964,0.33320599072407203
DiscoverSL,5,0.3795266272189349,0.4278443387056941,0.323049140719522
DiscoverSL,6,0.46698224852071,0.5155635123597273,0.5523881345105411
DiscoverSL,7,0.4196449704142011,0.4588999941305816,0.41963256238907953
DiscoverSL,8,0.45396449704142006,0.49974118443563015,0.5154118889500435
DiscoverSL,9,0.4469822485207101,0.48461198363105684,0.5023591173730325
DiscoverSL,10,0.4900591715976332,0.5078749701831127,0.5088433454835312
