method,fold_no,auroc,auprc,ap_3
GCATSL,1,0.4975247524752475,0.5,0.9256898184001843
GCATSL,2,0.4866312126262131,0.509050994794573,0.5236471761022566
GCATSL,3,0.49257425742574257,0.5,0.8687925721237517
GCATSL,4,0.49504950495049505,0.5,0.8959974141674408
GCATSL,5,0.5,0.5,0.9519496182618756
GCATSL,6,0.5,0.5,0.9519496182618756
GCATSL,7,0.5,0.5,0.9519496182618756
GCATSL,8,0.5,0.5,0.9519496182618756
GCATSL,9,0.4849769630428389,0.5090169085431837,0.525168867595808
GCATSL,10,0.5,0.5,0.9519496182618756
pca-gCMF,1,0.5634496617978629,0.5781158256212778,0.6379486435562104
pca-gCMF,2,0.5247769826487599,0.5591055402194864,0.6414272903829735
pca-gCMF,3,0.5747230663660425,0.5824539887713639,0.6458620540907232
pca-gCMF,4,0.5578864817174787,0.5530174772150191,0.5796499081635819
pca-gCMF,5,0.5462822272326243,0.5833015673622273,0.6728349222372157
pca-gCMF,6,0.5182947750220567,0.5403732982666004,0.5733864770057506
pca-gCMF,7,0.5349965689638272,0.5594693723062087,0.6218553409308264
pca-gCMF,8,0.5311243995686696,0.542344320825588,0.5674192486947658
pca-gCMF,9,0.5461596902264484,0.5354993986082146,0.5382053674440099
pca-gCMF,10,0.5388319772571317,0.5316282633101925,0.5401893218054807
GRSMF,1,0.5280609744142731,0.5597698107349118,0.6350170091525468
GRSMF,2,0.5190177433584943,0.536881233363258,0.5836294944387096
GRSMF,3,0.5172532104695617,0.535159498651222,0.5815082209140853
GRSMF,4,0.5559136359180472,0.55457246871223,0.5964528223211552
GRSMF,5,0.5441133222233114,0.5564236733386476,0.6142671247243832
GRSMF,6,0.496593471228311,0.5238891286319025,0.5688061814467112
GRSMF,7,0.4847563964317224,0.5257781443452315,0.5838796478454025
GRSMF,8,0.4969365748456034,0.5018449695847763,0.49915642198364873
GRSMF,9,0.47992843838839333,0.5001684893090474,0.5170555687010678
GRSMF,10,0.4954171159690226,0.5138719480471117,0.5434477958876963
Elastic Net,1,0.6565287716890501,0.6486467266416505,0.7144198938702201
Elastic Net,2,0.7035094598568769,0.7093002898293079,0.8037319333415824
Elastic Net,3,0.6983506518968728,0.6932657229485781,0.7756749417268815
Elastic Net,4,0.6936574845603372,0.6977793386721342,0.7908797325577486
Elastic Net,5,0.7211180276443485,0.7388053972912635,0.8480373744098498
Elastic Net,6,0.6905940594059407,0.6774711614648373,0.7487492034424499
Elastic Net,7,0.7244387805117145,0.7287471814036651,0.8240567716375349
Elastic Net,8,0.6936697382609547,0.68715263562406,0.7664332560057389
Elastic Net,9,0.7031295951377315,0.6956214871524212,0.7745224560590995
Elastic Net,10,0.6840873443780022,0.6758627721410171,0.748711315572144
L0L2,1,0.6555484756396431,0.6378652094371725,0.6901911995441292
L0L2,2,0.7140966571904716,0.729720492253447,0.8373339053721911
L0L2,3,0.6982771296931674,0.6930416833838422,0.7752565460219287
L0L2,4,0.688596706205274,0.6922483616482533,0.7838486273594825
L0L2,5,0.7211180276443485,0.7388053972912635,0.8480373744098498
L0L2,6,0.6887682580139203,0.6849107853525445,0.7671348714403043
L0L2,7,0.7244387805117145,0.7287471814036651,0.8240567716375349
L0L2,8,0.7004092736006273,0.7037717195006237,0.7982904653948547
L0L2,9,0.699502499754926,0.6866311539889256,0.7536306836930129
L0L2,10,0.6840873443780022,0.6758627721410171,0.748711315572144
Random Forest,1,0.5659616704244682,0.5993101473099239,0.6955068047825113
Random Forest,2,0.5773085971963533,0.5873130287654018,0.6601424086831981
Random Forest,3,0.5827614939711793,0.5938631277969574,0.6615771850056782
Random Forest,4,0.5782766395451426,0.5865012854375111,0.6530712069241468
Random Forest,5,0.5688903048720714,0.5752746814264706,0.6199828362543446
Random Forest,6,0.5727012057641407,0.6074038935419097,0.7033041500549027
Random Forest,7,0.6392388001176356,0.655090270878071,0.7580986316045897
Random Forest,8,0.49280707773747673,0.5216137940228953,0.5603550709957072
Random Forest,9,0.5928462895794531,0.6253278727383131,0.7237890080619659
Random Forest,10,0.5968655033820214,0.6023217157725488,0.6639128335965435
MUVR,1,0.592846289579453,0.6099420189389589,0.6865253061879848
MUVR,2,0.580996961082247,0.6072115549734434,0.6831292729856239
MUVR,3,0.6113248701107733,0.608012457715088,0.6641536094945965
MUVR,4,0.5849181452798745,0.5842130993619239,0.6370209659555893
MUVR,5,0.6309307910989119,0.6389771030707676,0.715672997468058
MUVR,6,0.607158611900794,0.6272228769270404,0.7160175407895366
MUVR,7,0.5961792961474366,0.6144824755501674,0.6999510793680027
MUVR,8,0.6098299186354279,0.6302194805611638,0.7148266957771956
MUVR,9,0.5587319870600922,0.582300842352254,0.6548645438808656
MUVR,10,0.5801514557396333,0.5986315546707741,0.683217970522225
