method,fold_no,auroc,auprc,ap_3
GCATSL,1,0.5,0.5,0.8648006570167972
GCATSL,2,0.4156049127640037,0.4355332956765805,0.2930410777966045
GCATSL,3,0.5,0.5,0.8968964420829723
GCATSL,4,0.5,0.5,0.8843051552063494
GCATSL,5,0.5,0.5,0.9176157736680436
GCATSL,6,0.5,0.5,0.8867539779390942
GCATSL,7,0.47781065088757396,0.48615843759649485,0.44792175614510366
GCATSL,8,0.5,0.5,0.9116276069599302
GCATSL,9,0.5057471264367817,0.5057471264367817,0.9328006711735503
GCATSL,10,0.5,0.5,0.8839507301353069
pca-gCMF,1,0.4946492271105827,0.5180527541517923,0.5233608338457889
pca-gCMF,2,0.47434573002754826,0.49015607030057046,0.46910024292318775
pca-gCMF,3,0.4708175803402647,0.495525400058753,0.4799288464179968
pca-gCMF,4,0.5690893421430623,0.572630128610563,0.5993306617256363
pca-gCMF,5,0.5768626977418186,0.5662856536207463,0.5809909583149134
pca-gCMF,6,0.5154528352593389,0.5561173102973698,0.6056151220208191
pca-gCMF,7,0.5090401051939513,0.509060835603433,0.4768063699177499
pca-gCMF,8,0.460734504282189,0.4879733903770638,0.4503493266744267
pca-gCMF,9,0.48328709208614085,0.4722518250980189,0.3689452792282933
pca-gCMF,10,0.5087755102040816,0.5165856104510349,0.4781640900582645
GRSMF,1,0.5477110582639715,0.5329852341987793,0.4993626638477555
GRSMF,2,0.5604912764003673,0.5540482005130682,0.5699456902724302
GRSMF,3,0.5473180529300568,0.5752873560559209,0.6429156164383866
GRSMF,4,0.5854639471416259,0.5920589936254017,0.6297463024082811
GRSMF,5,0.5820553073300326,0.6005185294676836,0.651113083575191
GRSMF,6,0.6175759204514916,0.6361149385557072,0.7187092906098254
GRSMF,7,0.4820841551610782,0.540683634821137,0.6058775735666643
GRSMF,8,0.5314269124691536,0.5567775497640504,0.6052336083668697
GRSMF,9,0.5933412604042806,0.5963106321355959,0.6401602326931294
GRSMF,10,0.5739795918367346,0.5931343337309418,0.6498688906304518
Elastic Net,1,0.5612366230677764,0.5943314924602673,0.6684693009560028
Elastic Net,2,0.5946969696969697,0.6234884487145449,0.7260847810260379
Elastic Net,3,0.5582466918714556,0.5685720507717559,0.6421452752898417
Elastic Net,4,0.557885665038782,0.5132607023476754,0.4149950793595157
Elastic Net,5,0.6130902064967999,0.5944419104951586,0.6414775204045529
Elastic Net,6,0.7137866165009406,0.742830509470088,0.8571200354253437
Elastic Net,7,0.4898093359631821,0.5189014841955618,0.5433352864874185
Elastic Net,8,0.597619393235593,0.5554375630617779,0.5155023912274452
Elastic Net,9,0.5900383141762453,0.6562789881646347,0.7955811866236381
Elastic Net,10,0.6757142857142857,0.6528967859722672,0.6943960843138167
L0L2,1,0.5591557669441142,0.589601681844906,0.6564549577238503
L0L2,2,0.5915977961432507,0.6228346718778304,0.727126813838904
L0L2,3,0.5853024574669187,0.6024226435802672,0.6739941843943825
L0L2,4,0.5590347601264005,0.5171828240924996,0.43265475242442675
L0L2,5,0.6435213138509841,0.6418280691085224,0.7193204531358983
L0L2,6,0.7162053211502285,0.7433037136213362,0.8599739429942131
L0L2,7,0.4835634451019067,0.5161671177212823,0.5397180641039638
L0L2,8,0.5971839163884454,0.5571247179319467,0.5138450981207207
L0L2,9,0.5727308759413396,0.6476201934385994,0.7911602320570703
L0L2,10,0.6581632653061225,0.6153899623073187,0.6165328751719845
Random Forest,1,0.584423305588585,0.5981065621800242,0.6488828611578437
Random Forest,2,0.5317665289256199,0.542146408162882,0.5846053267953615
Random Forest,3,0.6256498109640831,0.5896641836728101,0.5874226208785889
Random Forest,4,0.5976730824475726,0.5632652528850421,0.5289256646166793
Random Forest,5,0.663869097935032,0.6356008483061902,0.6669586763565716
Random Forest,6,0.6956463316312819,0.7138870046242807,0.8035745316525731
Random Forest,7,0.5413379355687049,0.516554161322176,0.4590426935886903
Random Forest,8,0.6498040354187835,0.6453422906402259,0.6970868939116487
Random Forest,9,0.5634826265028405,0.547634787799468,0.5537003284622254
Random Forest,10,0.7310204081632653,0.7127296830924805,0.7743828568220232
MUVR,1,0.5129310344827587,0.5103562299125435,0.4678118069481762
MUVR,2,0.559486914600551,0.5275790326692196,0.4909747873098727
MUVR,3,0.5819352551984877,0.5800105470576244,0.6294596623852048
MUVR,4,0.5948003447285263,0.5732234859862843,0.5571412230502493
MUVR,5,0.6274604516362758,0.6286407074334555,0.7000853505689908
MUVR,6,0.6709217952163395,0.6864544825846213,0.7547097514167327
MUVR,7,0.5399408284023669,0.5180595289653749,0.4561680274970821
MUVR,8,0.6267237625199594,0.5960620136483238,0.6154926327138316
MUVR,9,0.5737878187343111,0.5890161456424755,0.6466051333338758
MUVR,10,0.6889795918367347,0.6699012019078565,0.7291053976453048
