method,fold_no,auroc,auprc,ap_3
GCATSL,1,0.5092474489795918,0.5178571428571429,0.862977321234865
GCATSL,2,0.4224376731301939,0.4779587727273715,0.45632047556986377
GCATSL,3,0.38536845852616586,0.4487530503463649,0.4128968559943742
GCATSL,4,0.3222257653061224,0.39018334080041445,0.16335757734267942
GCATSL,5,0.3197222222222222,0.5,0.20541265926368787
GCATSL,6,0.4907407407407408,0.49691358024691357,0.7724904373041503
GCATSL,7,0.4656944444444444,0.49754611517587294,0.48859086595975787
GCATSL,8,0.42333333333333334,0.45657444923298746,0.3754955995800707
GCATSL,9,0.4406779661016949,0.5,0.5029939427360335
GCATSL,10,0.7074759945130313,0.734261963248203,0.8509403699417675
pca-gCMF,1,0.8035714285714285,0.7479026922164268,0.7455335179879995
pca-gCMF,2,0.7666974453678055,0.6885653658724769,0.6591026849285418
pca-gCMF,3,0.8647205411178356,0.8112250021226597,0.8308827176113371
pca-gCMF,4,0.7713647959183674,0.6654031774508005,0.5659756933578624
pca-gCMF,5,0.8136111111111111,0.7517527175755038,0.7642844360877878
pca-gCMF,6,0.803840877914952,0.7238114741385608,0.7010022035686021
pca-gCMF,7,0.7686111111111111,0.6807420985590981,0.6389743314976559
pca-gCMF,8,0.7869444444444444,0.7326127413091768,0.7515608424306409
pca-gCMF,9,0.7569663889686872,0.7034352748956471,0.7258717048936781
pca-gCMF,10,0.7527434842249656,0.6761095214467526,0.6567253671598189
GRSMF,1,0.8118622448979592,0.7327697519806642,0.7131802644105805
GRSMF,2,0.7750076946752847,0.6979151058503239,0.6855435604700638
GRSMF,3,0.8191527233891065,0.7238641440901075,0.6777027559323665
GRSMF,4,0.8156887755102041,0.7666931781737045,0.7967483241723563
GRSMF,5,0.8200000000000001,0.7367502322189191,0.7150644952688024
GRSMF,6,0.8168724279835391,0.730352872998786,0.6899884469501817
GRSMF,7,0.7736111111111111,0.7199898857439816,0.7459638372030976
GRSMF,8,0.8227777777777777,0.7411428656830156,0.7229662032994038
GRSMF,9,0.8132720482619937,0.7716663364113648,0.8163893981498486
GRSMF,10,0.744170096021948,0.685907002991156,0.6692434301449451
Elastic Net,1,0.5271045918367347,0.5437894054447872,0.5694461252952887
Elastic Net,2,0.5866420437057557,0.5594426460082413,0.538609039952375
Elastic Net,3,0.5329298682805269,0.571730843115264,0.6175025841427425
Elastic Net,4,0.5,0.5,0.799914258171802
Elastic Net,5,0.518888888888889,0.4814500584951026,0.3238182174046068
Elastic Net,6,0.5286351165980796,0.5135768080600904,0.45887305915503035
Elastic Net,7,0.5,0.5,0.8110728480531814
Elastic Net,8,0.5644444444444444,0.5348523241635866,0.48517117952829364
Elastic Net,9,0.4636598678540649,0.4937552223913661,0.4666776360479729
Elastic Net,10,0.5,0.5,0.8584012203603626
L0L2,1,0.5797193877551021,0.5871841257306617,0.6301315564972456
L0L2,2,0.574946137273007,0.5572487444585095,0.5363424341332323
L0L2,3,0.533997864008544,0.5841699686283419,0.6372465586556245
L0L2,4,0.4764030612244898,0.5009321695875084,0.4849766174487784
L0L2,5,0.5,0.4800406619172472,0.3595660460052649
L0L2,6,0.546639231824417,0.525780840273939,0.4774699915967974
L0L2,7,0.5655555555555556,0.5568582375901747,0.5553991515597597
L0L2,8,0.5411111111111111,0.5118580316266474,0.43364850866489013
L0L2,9,0.4797471990807239,0.48728011815655214,0.41583116342142457
L0L2,10,0.5771604938271605,0.5576017470967408,0.5511865870552668
Random Forest,1,0.5366709183673469,0.5563419101202413,0.5739910006875449
Random Forest,2,0.46799015081563555,0.49154048314926535,0.5131874524914241
Random Forest,3,0.5096119615521538,0.5386216328990299,0.5694328242619675
Random Forest,4,0.5161033163265306,0.5209836784880468,0.5012742577438911
Random Forest,5,0.6023611111111111,0.5942141797581683,0.6271278872290947
Random Forest,6,0.502400548696845,0.5052671229169858,0.46539821031649914
Random Forest,7,0.5054166666666666,0.505741801713106,0.446580075205765
Random Forest,8,0.5523611111111111,0.5594930529721631,0.5639188195964991
Random Forest,9,0.5718184429761562,0.6061796784577889,0.6803625130059084
Random Forest,10,0.4981138545953361,0.5450205086260582,0.6053924190268659
MUVR,1,0.4803890306122449,0.47597633161818154,0.37699608892030106
MUVR,2,0.577254539858418,0.5663311507987447,0.5638177909178402
MUVR,3,0.4289782840868636,0.5125713950013581,0.5531198601148015
MUVR,4,0.5202487244897959,0.5125313053897943,0.46527039550249377
MUVR,5,0.57125,0.5978248880806242,0.6685212910619283
MUVR,6,0.5161179698216736,0.549316656918898,0.5941600512321021
MUVR,7,0.41916666666666663,0.4394424930364014,0.3139290162833945
MUVR,8,0.611388888888889,0.6237108993732143,0.6931712137417814
MUVR,9,0.5225509910945131,0.5517042062390592,0.5859946527679242
MUVR,10,0.44393004115226337,0.47728513744975787,0.42609710712439214
