method,fold_no,auroc,auprc,ap_3
GCATSL,1,0.5661617286700823,0.535814656513679,0.9554140595957198
GCATSL,2,0.6582549008687905,0.5970420293525229,0.6636821214930244
GCATSL,3,0.5605995210514592,0.5324226235256293,0.9877837538307009
GCATSL,4,0.5742787926041435,0.5403844972667526,0.9545839403089178
GCATSL,5,0.5844634105591445,0.5466785163851767,0.9909976350232804
GCATSL,6,0.5909027623078638,0.5506643736192381,0.9390189248306361
GCATSL,7,0.6425011138338159,0.5843375436822157,0.8437964707106417
GCATSL,8,0.5505959010915572,0.5267183680436949,0.9621670857287797
GCATSL,9,0.5447413120962352,0.5234996844551535,0.9621670857287797
GCATSL,10,0.6150590331922478,0.5655107712841918,0.9511744742293954
pca-gCMF,1,0.9144993316997104,0.9328837333301877,0.9871608580692568
pca-gCMF,2,0.9066468032969481,0.9093978371990985,0.9563319624402881
pca-gCMF,3,0.9309701492537313,0.9390934856402299,0.9828535392164887
pca-gCMF,4,0.8875445533526397,0.8727562509248773,0.9094951954227005
pca-gCMF,5,0.908108710180441,0.8958390953125519,0.9329641168136115
pca-gCMF,6,0.915042325685008,0.9077024162868685,0.9433788363121923
pca-gCMF,7,0.8864585653820449,0.880538723486791,0.9261964884512778
pca-gCMF,8,0.8786060369792826,0.8147875586223698,0.7924133594536595
pca-gCMF,9,0.8992398084205837,0.8715402108469211,0.8894916991496732
pca-gCMF,10,0.8833955223880596,0.8640347069711138,0.896041572744734
GRSMF,1,0.8007003230118067,0.8125245585792616,0.8854966708949927
GRSMF,2,0.828734127868122,0.8157225322690186,0.8621914651138189
GRSMF,3,0.8313098685676097,0.8185617798796075,0.869736996846639
GRSMF,4,0.8312193695700602,0.8253567968604735,0.8737678448053545
GRSMF,5,0.8240560258409446,0.8132464917685618,0.8757586284327359
GRSMF,6,0.8031855647137447,0.7752057703840953,0.8133343012801653
GRSMF,7,0.8280240588104254,0.8173240299396235,0.8613360590213345
GRSMF,8,0.8037772889284919,0.8153891069382904,0.8878704437857368
GRSMF,9,0.8020717308977501,0.8062493481381463,0.8856179063368727
GRSMF,10,0.8121658498552016,0.8067598910601176,0.8645254271575009
Elastic Net,1,0.8161756515927823,0.857499356019821,0.9694458294914692
Elastic Net,2,0.835027288928492,0.8720970489220113,0.9796113615113141
Elastic Net,3,0.836503118734685,0.8730592698370887,0.9770300240253629
Elastic Net,4,0.8519297170862106,0.8795888822673372,0.9742259167302311
Elastic Net,5,0.8488805970149254,0.8835547615995963,0.9830032599911231
Elastic Net,6,0.856036979282691,0.8923134819740868,0.9888933567501611
Elastic Net,7,0.835820895522388,0.8711421854831594,0.9675108399363221
Elastic Net,8,0.8277595232791266,0.871647654500738,0.9794289667600651
Elastic Net,9,0.8324097794609044,0.8584552427106746,0.9469170213017625
Elastic Net,10,0.8420444419692581,0.8740591262754855,0.9774598151924643
L0L2,1,0.8205056805524618,0.8624033426769403,0.9733623990592195
L0L2,2,0.8355424370683894,0.8721976087402998,0.9796214532061716
L0L2,3,0.8365309645800847,0.8767264772348904,0.9856535293420084
L0L2,4,0.8524309423034083,0.8805792989985837,0.9751599223316875
L0L2,5,0.8469592336823346,0.8819493074313098,0.9819265034885986
L0L2,6,0.8502171975941191,0.8897529322587663,0.9883253136193909
L0L2,7,0.8404572287814659,0.876612287776645,0.9756529576923906
L0L2,8,0.8379928714635777,0.8755435650660512,0.9780120528366424
L0L2,9,0.8376865671641791,0.8689866652395646,0.9626500517624437
L0L2,10,0.8471820004455337,0.8752078679277641,0.9755400673185245
Random Forest,1,0.8586266429048787,0.8844472742938825,0.9811236628766415
Random Forest,2,0.8617801848964135,0.8884891872362859,0.9850051587982784
Random Forest,3,0.8602625863221207,0.8914448288815795,0.9930366534146978
Random Forest,4,0.8572621964802851,0.8898678779574268,0.989891067193339
Random Forest,5,0.8490964023167744,0.8710534688022362,0.9637208472434833
Random Forest,6,0.8607498886166183,0.890167325883129,0.9837481687213879
Random Forest,7,0.8585570282913788,0.8894657504090676,0.9849834757542907
Random Forest,8,0.8407565716195144,0.8804489566763585,0.9864230201071218
Random Forest,9,0.8453302517264425,0.8836817009790083,0.9879222342585988
Random Forest,10,0.8643002339051014,0.8883813077355727,0.9799674417100772
MUVR,1,0.8509620739585655,0.8827123600719149,0.9811753375257152
MUVR,2,0.8681638449543327,0.893551315827185,0.987513270930127
MUVR,3,0.8627617509467588,0.8956253702029031,0.9944472443319431
MUVR,4,0.858758910670528,0.8838600591255072,0.981054112860259
MUVR,5,0.8544428046335486,0.883001027310129,0.9829128937828965
MUVR,6,0.8655115281799957,0.8941269135838521,0.9865287882164452
MUVR,7,0.8636388950768545,0.896588809472649,0.9878338383242843
MUVR,8,0.8630332479394075,0.8972775720457926,0.9901224659777536
MUVR,9,0.870600356426821,0.9027353607373702,0.9897217443544541
MUVR,10,0.8799774448652262,0.8960344014095696,0.9779955169834915
DAISY,1,0.5968408888393852,0.5727550365444903,0.6008220121617678
