	x
1	0.88±0.01
2	0.49±0.01
3	0.68±0.04
4	0.44±0.01
5	0.56±0.03
6	0.63±0.02
7	0.55±0.03
8	0.51±0.02
9	0.55±0.02
10	0.52±0.02
11	0.87±0.03
12	0.51±0.02
13	0.42±0.03
14	0.55±0.02
15	0.42±0.03
16	0.57±0.07
