	x
1	0.88±0.01
2	0.49±0.01
3	0.67±0.02
4	0.46±0.01
5	0.56±0.02
6	0.62±0.03
7	0.48±0.03
8	0.52±0.02
9	0.49±0.02
10	0.5±0.02
11	0.87±0.02
12	0.5±0.02
13	0.42±0.03
14	0.54±0.02
15	0.42±0.02
16	0.59±0.08
