	x
1	0.86±0.01
2	0.5±0.01
3	0.81±0.01
4	0.45±0.01
5	0.47±0.02
6	0.6±0.03
7	0.43±0.04
8	0.5±0.01
9	0.73±0.03
10	0.53±0.01
11	0.87±0.03
12	0.46±0.02
13	0.41±0.06
14	0.48±0.01
15	0.38±0.05
16	0.59±0.06
