	x
1	0.86±0.01
2	0.5±0
3	0.81±0.01
4	0.45±0.01
5	0.47±0
6	0.59±0.02
7	0.43±0.01
8	0.53±0.02
9	0.75±0.03
10	0.53±0.01
11	0.87±0.03
12	0.46±0.02
13	0.44±0.06
14	0.47±0.01
15	0.4±0.05
16	0.59±0.07
