	BRCA	COAD	LUAD	OV
DAISY	0.58±0.02	0.42±0.01	0.46±0.03	0.47±0.04
DiscoverSL	0.55±0.02	0.53±0.02	0.54±0.03	0.48±0.04
pca-gCMF	0.92±0.01	0.56±0.03	0.81±0.06	0.92±0.04
Elastic Net	0.87±0.01	0.59±0.01	0.87±0.02	0.58±0.04
L0L2	0.88±0.01	0.59±0.02	0.87±0.02	0.58±0.05
Random Forest	0.89±0.01	0.63±0.02	0.87±0.02	0.54±0.05
MUVR	0.89±0.01	0.62±0.01	0.87±0.01	0.51±0.05
Elastic Net (All)	0.81±0.03	0.52±0.02	0.83±0.02	0.5±0.02
L0L2 (All)	0.78±0.01	0.52±0.02	0.84±0.01	0.51±0.03
Random Forest (All)	0.84±0.02	0.6±0.03	0.83±0.02	0.52±0.05
MUVR (All)	0.85±0.01	0.6±0.02	0.84±0.02	0.52±0.05
Elastic Net (Unbalanced)	0.68±0.02	0.53±0.02	0.79±0.02	0.45±0.03
L0L2 (Unbalanced)	0.68±0.02	0.53±0.02	0.78±0.02	0.46±0.02
Random Forest (Unbalanced)	0.81±0.01	0.6±0.02	0.81±0.03	0.55±0.05
MUVR (Unbalanced)	0.82±0.01	0.61±0.03	0.84±0.03	0.54±0.05
