	discoversl	isle
Elastic Net	0.69±0.02	0.97±0.02
L0L2	0.69±0.02	0.96±0.02
Random Forest	0.61±0.03	0.92±0.04
MUVR	0.6±0.02	0.95±0.03
DAISY	0.44±0.01	0.56±0.03
pca-gCMF	0.56±0.03	0.95±0.05
