	x
Elastic Net (No Dep)	0.51±0.06
Elastic Net	0.83±0.04
L0L2 (No Dep)	0.51±0.05
L0L2	0.83±0.04
Random Forest (No Dep)	0.73±0.07
Random Forest	0.88±0.03
MUVR (No Dep)	0.69±0.05
MUVR	0.88±0.04
