	x
Elastic Net (No Dep)	0.64±0.03
Elastic Net	0.85±0.02
L0L2 (No Dep)	0.64±0.03
L0L2	0.85±0.02
Random Forest (No Dep)	0.77±0.02
Random Forest	0.84±0.03
MUVR (No Dep)	0.75±0.02
MUVR	0.84±0.02
