	x
Elastic Net (No Dep)	0.74±0.08
Elastic Net	0.99±0
L0L2 (No Dep)	0.77±0.03
L0L2	0.99±0
Random Forest (No Dep)	0.93±0.02
Random Forest	0.99±0.01
MUVR (No Dep)	0.85±0.05
MUVR	0.99±0.01
